calibration_id,host_id,cpu,memory,energy
1849,1,0.04281767955801105,0.6957182670382569,15.4
1890,1,0.062375249500998,0.6954649100582722,15.6
1868,1,0.06636614074630603,0.6954649100582722,15.7
1836,1,0.06681715575620767,0.6954649100582722,15.3
1848,1,0.07035553329994992,0.6957182670382569,15.5
1828,1,0.07411116675012519,0.6954649100582722,15.3
1833,1,0.07761417519341153,0.6952115530782873,15.7
1783,1,0.07845894263217097,0.6962249809982265,20.4
1841,1,0.08179054987565625,0.6954649100582722,15.6
1855,1,0.08501118568232663,0.6957182670382569,15.6
1895,1,0.08988482724086129,0.6952115530782873,15.8
1862,1,0.09346959122632104,0.6959716240182418,15.6
1896,1,0.09452736318407962,0.6954649100582722,15.6
1827,1,0.09523809523809523,0.6954649100582722,15.3
1821,1,0.09972979611888971,0.6957182670382569,14.9
1889,1,0.10089938167509838,0.6954649100582722,15.7
1877,1,0.1010928961748634,0.6954649100582722,15.5
1820,1,0.10142749812171299,0.6959716240182418,23.5
1888,1,0.10357583230579531,0.6954649100582722,15.9
1857,1,0.10357583230579533,0.6957182670382569,15.3
1842,1,0.1048447204968944,0.6954649100582722,15.4
1784,1,0.1048447204968944,0.6962249809982265,14.7
1835,1,0.10523690773067333,0.6952115530782873,15.5
1843,1,0.10540811216825238,0.6954649100582722,15.3
1905,1,0.1054599850411369,0.6959716240182418,15.7
1834,1,0.1056584877315974,0.6952115530782873,15.6
1874,1,0.10878243512974052,0.6954649100582722,15.9
1847,1,0.10878243512974052,0.6959716240182418,15.6
1863,1,0.10899523928839891,0.6959716240182418,15.5
1854,1,0.11336336336336338,0.6957182670382569,15.7
1822,1,0.11361054305839581,0.6954649100582722,14.8
1876,1,0.11586275484833418,0.6954649100582722,15.6
1856,1,0.11646386888502608,0.6957182670382569,15.4
1870,1,0.12069358886607347,0.6954649100582722,15.4
1869,1,0.12255381604696673,0.6954649100582722,15.5
1875,1,0.14378499440089587,0.6954649100582722,15.8
1882,1,0.14450288004007011,0.6959716240182418,15.6
1861,1,0.14774145245819814,0.6959716240182418,15.7
1901,1,0.15261446084563424,0.6957182670382569,15.7
1883,1,0.16382765531062124,0.6957182670382569,15.5
1945,1,0.16781135531135533,0.6947048391183177,16.2
1785,1,0.17909703167872285,0.6959716240182418,14.6
1864,1,0.17968094038623,0.6957182670382569,15.4
1943,1,0.1829131652661064,0.6974917658981505,16.3
1881,1,0.18555170707570506,0.6959716240182418,15.7
1884,1,0.19043321299638985,0.6957182670382569,15.5
1867,1,0.19102244389027434,0.6954649100582722,15.8
1853,1,0.2003205128205128,0.6957182670382569,15.6
1839,1,0.20583832335329344,0.6954649100582722,15.6
1829,1,0.20686200851490105,0.6954649100582722,15.2
1944,1,0.21501877346683354,0.6949581960983026,16.2
1860,1,0.2178017532029669,0.6957182670382569,15.6
1898,1,0.22155688622754496,0.6954649100582722,15.5
1826,1,0.22678347934918647,0.6954649100582722,15.3
1903,1,0.23709798055347794,0.6959716240182418,15.6
1902,1,0.2406390414378433,0.6957182670382569,15.7
1840,1,0.24538653366583543,0.6954649100582722,15.6
1850,1,0.24569718134198054,0.6957182670382569,15.3
1786,1,0.2674943566591422,0.6959716240182418,14.6
1823,1,0.27315973960941414,0.6954649100582722,14.8
1897,1,0.27655860349127187,0.6954649100582722,15.5
1941,1,0.2919161676646707,0.6974917658981505,31.4
1894,1,0.2921964597357267,0.6952115530782873,15.8
1925,1,0.30077635862759833,0.782366354193058,22.8
1764,1,0.312046080641122,0.6985051938180897,18.5
1771,1,0.31638276553106215,0.6972384089181657,18.9
1851,1,0.31759443339960236,0.6957182670382569,15.3
1790,1,0.31886227544910184,0.783633139092982,20.5
1760,1,0.3203105434510393,0.6982518368381049,18.3
1926,1,0.3220873786407767,0.782366354193058,22.9
1801,1,0.32414829659318634,0.782366354193058,27.3
1899,1,0.3258040756199362,0.6954649100582722,15.5
1830,1,0.3267647792466949,0.6954649100582722,15.2
1800,1,0.3293059848271986,0.782366354193058,27.6
1846,1,0.3344973808929908,0.6959716240182418,15.5
1887,1,0.3358377160030052,0.6957182670382569,15.8
1891,1,0.3427218344965104,0.6954649100582722,15.4
1804,1,0.3436013022789882,0.7821129972130733,32.6
1878,1,0.34647044150661016,0.6954649100582722,15.4
1777,1,0.3476083145504633,0.6979984798581201,18.6
1815,1,0.3489685658153242,0.7816062832531037,21.8
1758,1,0.3495855680156021,0.6990119077780593,18.9
1770,1,0.3514392991239049,0.6962249809982265,19
1772,1,0.3514529058116232,0.6972384089181657,18.7
1885,1,0.3514529058116233,0.6957182670382569,15.4
1871,1,0.3515272909364046,0.6954649100582722,15.3
1797,1,0.3515272909364046,0.7826197111730429,16.1
1814,1,0.35785536159601,0.7816062832531037,21.7
1938,1,0.3613861386138613,0.7821129972130733,31.5
1832,1,0.36629834254143645,0.6952115530782873,15.5
1778,1,0.3665086887835703,0.6979984798581201,18.6
1880,1,0.3686382393397524,0.6959716240182418,15.6
1908,1,0.3699224098585121,0.7613377248543197,15.9
1791,1,0.3703534777651083,0.783633139092982,20.6
1779,1,0.37089907337841227,0.6962249809982265,18.7
1946,1,0.37105658487731596,0.6947048391183177,16.1
1906,1,0.3714808880750744,0.6962249809982265,15.5
1807,1,0.375,0.7821129972130733,20.8
1782,1,0.3757367387033399,0.6962249809982265,19.8
1904,1,0.37792458023671904,0.6959716240182418,15.5
1773,1,0.3817003241087011,0.6982518368381049,18.4
1825,1,0.38276553106212424,0.6954649100582722,15.1
1939,1,0.38772975658221553,0.7821129972130733,31.5
1942,1,0.392408183386739,0.6974917658981505,25.7
1813,1,0.3925469319137014,0.7816062832531037,21.4
1912,1,0.39418983220636117,0.782366354193058,22.4
1766,1,0.39434151226840264,0.6979984798581201,18.2
1919,1,0.40230460921843686,0.7821129972130733,23.1
1918,1,0.40235353029544313,0.782366354193058,23.3
1765,1,0.4062883812331123,0.6962249809982265,18.2
1937,1,0.4067584480600751,0.7821129972130733,31.5
1752,1,0.4082855003743449,0.7012921205979225,19.4
1940,1,0.4084788029925187,0.6972384089181657,31.5
1932,1,0.4181271907861792,0.7816062832531037,29.4
1759,1,0.4185412406271303,0.6969850519381809,18.6
1808,1,0.42273276904474,0.7821129972130733,20.6
1892,1,0.4263618022864828,0.6954649100582722,15.5
1858,1,0.43403656821378334,0.6957182670382569,15.2
1837,1,0.4341778440139095,0.6954649100582722,15.2
1931,1,0.4397605387877277,0.7816062832531037,29.1
1911,1,0.44772790632840814,0.782366354193058,22.5
1831,1,0.4531797696544817,0.6954649100582722,15.3
1865,1,0.45758122743682306,0.6957182670382569,15.4
1922,1,0.46069103655483223,0.782366354193058,22.6
1900,1,0.4607101947308132,0.6957182670382569,15.5
1948,1,0.4610568494866015,0.6947048391183177,16.3
1844,1,0.4665835411471322,0.6957182670382569,15.3
1873,1,0.4669658439291946,0.6954649100582722,15.6
1787,1,0.4727090635953931,0.6990119077780593,14.8
1872,1,0.4736990154711674,0.6954649100582722,15.4
1924,1,0.47498863119599827,0.782366354193058,22.7
1866,1,0.4760594386351128,0.6954649100582722,15.6
1886,1,0.4764646970455684,0.6957182670382569,15.5
1933,1,0.47845303867403316,0.7816062832531037,29.8
1780,1,0.4804707060590887,0.6964783379782113,18.8
1767,1,0.4823717948717949,0.6967316949581961,18.2
1916,1,0.4840971700475832,0.7821129972130733,22.8
1893,1,0.48421843687374755,0.6952115530782873,15.7
1798,1,0.4843397644700576,0.7826197111730429,21.7
1750,1,0.49211119459053343,0.7015454775779073,19.1
1915,1,0.4923654568210262,0.7821129972130733,22.7
1907,1,0.5,0.6972384089181657,15.6
1879,1,0.5078888054094667,0.6962249809982265,15.4
1824,1,0.5129634792305547,0.6954649100582722,14.9
1852,1,0.5168263325964136,0.6957182670382569,15.3
1947,1,0.5195269526952696,0.6947048391183177,16
1753,1,0.5214463840399003,0.6985051938180897,19.1
1781,1,0.5391739674593241,0.6974917658981505,19.3
1763,1,0.5409181636726546,0.6982518368381049,18.5
1838,1,0.5409181636726547,0.6954649100582722,15.3
1751,1,0.5489902767389678,0.7010387636179377,19.1
1819,1,0.5521811154058531,0.6959716240182418,23.2
1811,1,0.5524806781351284,0.7816062832531037,20.9
1859,1,0.5528942115768463,0.6957182670382569,15.4
1930,1,0.5565335138794855,0.7816062832531037,29.1
1845,1,0.5611000221778666,0.6957182670382569,15.4
1776,1,0.5613817097415505,0.6959716240182418,18.5
1816,1,0.5620437956204379,0.7816062832531037,22
1794,1,0.5690607734806631,0.782366354193058,20.9
1806,1,0.5731898677426586,0.7821129972130733,20.8
1803,1,0.5741367637102235,0.782366354193058,27.4
1757,1,0.574217772215269,0.6979984798581201,19.1
1793,1,0.5819774718397998,0.7816062832531037,20.8
1756,1,0.5823735603405108,0.6979984798581201,18.9
1812,1,0.597839430395286,0.7816062832531037,21.1
1789,1,0.6015222194942303,0.783633139092982,20.3
1792,1,0.619935371613224,0.783633139092982,20.8
1917,1,0.620889748549323,0.782366354193058,22.9
1754,1,0.6249374061091638,0.6990119077780593,18.9
1936,1,0.6287575150300602,0.7821129972130733,31.1
1769,1,0.6326990485728594,0.6982518368381049,18.7
1799,1,0.6345252774352651,0.7826197111730429,22.1
1929,1,0.645796956847094,0.7816062832531037,29.1
1910,1,0.6484727090635954,0.782366354193058,16.6
1805,1,0.6522708275285595,0.7821129972130733,32.4
1927,1,0.6533092037228542,0.782366354193058,23
1749,1,0.6558704453441294,0.6972384089181657,19
1774,1,0.6576287897461178,0.6962249809982265,18.2
1818,1,0.6898608349900597,0.7816062832531037,22.7
1817,1,0.6966067864271457,0.7816062832531037,22.3
1802,1,0.7,0.782366354193058,27.1
1761,1,0.7032306536438767,0.6992652647580441,18.2
1775,1,0.7061304836895388,0.6974917658981505,18.4
1768,1,0.7070605908863296,0.6957182670382569,18.3
1795,1,0.7110665998998498,0.7826197111730429,21
1914,1,0.7255629794605296,0.7818596402330884,22.5
1796,1,0.7262708052181739,0.782366354193058,21.2
1921,1,0.7433915211970075,0.782366354193058,22.6
1928,1,0.7586302126484397,0.7816062832531037,23.5
1762,1,0.7599009900990097,0.6972384089181657,18.3
1809,1,0.7611347517730497,0.7821129972130733,20.5
1923,1,0.7631942525559546,0.782366354193058,22.5
1920,1,0.7745429925524712,0.782366354193058,22.7
1810,1,0.7874516935667196,0.7818596402330884,20.6
1755,1,0.7886156396794695,0.6969850519381809,18.7
1913,1,0.8148397220354181,0.782366354193058,22.3
1935,1,0.8237073707370738,0.7821129972130733,30.6
1934,1,0.8463124141090241,0.7821129972130733,30
1788,1,0.8861079865016873,0.7565239422346086,15
